"blife_binomial","n_cells","st_area"
"Coua pyropyga",1285,26261
"Coua reynaudii",13864,322439
"Coua ruficeps",4750,108331
"Coua serriana",2895,63088
"Coua verreauxi",974,20391
"Crotophaga ani",585736,14203056
"Crotophaga major",501058,12192081
"Crotophaga sulcirostris",116507,2733450
"Cuculus canorus",2068452,50035364
"Cuculus clamosus",577573,14056279
"Cuculus crassirostris",4339,84767
"Cuculus gularis",517033,12526258
"Cuculus lepidus",35436,798552
"Cuculus micropterus",440101,10551089
"Cuculus optatus",1348535,32554199
"Cuculus poliocephalus",369992,8887143
"Cuculus rochii",113597,2703664
"Cuculus saturatus",340396,8010417
"Cuculus solitarius",500439,12151755
"Dasylophus superciliosus",936,16397
"Dromococcyx pavoninus",129269,3118313
"Dromococcyx phasianellus",398061,9658020
"Eudynamys orientalis",119663,2687313
"Eudynamys scolopaceus",408477,9746495
"Geococcyx californianus",125019,3017229
"Geococcyx velox",22155,519765
"Guira guira",331583,8066610
"Heteroscenes pallidus",321600,7788652
"Hierococcyx bocki",12767,290228
"Hierococcyx fugax",60303,1422183
"Hierococcyx hyperythrus",132791,3115407
"Hierococcyx nisicolor",139524,3323567
"Hierococcyx pectoralis",12448,266291
"Hierococcyx sparverioides",310660,7341696
"Hierococcyx vagans",43883,983118
"Hierococcyx varius",135145,3260503
"Lepidogrammus cumingi",2074,40710
"Microdynamis parva",27029,612012
"Morococcyx erythropygus",15901,360745
"Nannococcyx psix",0,0
"Neomorphus geoffroyi",147514,3548829
"Neomorphus pucheranii",45558,1105930
"Neomorphus radiolosus",1884,36286
"Neomorphus rufipennis",24839,597997
"Pachycoccyx audeberti",184633,4433843
"Phaenicophaeus curvirostris",54233,1225575
"Phaenicophaeus diardi",54882,1263436
"Phaenicophaeus oeneicaudus",347,6045
"Phaenicophaeus pyrrhocephalus",1616,36798
"Phaenicophaeus sumatranus",56564,1289507
"Phaenicophaeus tristis",183347,4395351
"Phaenicophaeus viridirostris",33129,789419
"Piaya cayana",555447,13529221
"Piaya melanogaster",199818,4872775
"Piaya mexicana",12143,281625
"Rhamphococcyx calyorhynchus",7761,168355
"Rhinortha chlorophaea",61022,1431760
"Scythrops novaehollandiae",132780,3005332
"Surniculus dicruroides",225524,5404351
"Surniculus lugubris",77990,1824953
"Surniculus musschenbroeki",9087,197692
"Surniculus velutinus",12083,261528
"Taccocua leschenaultii",111136,2686733
"Tapera naevia",512789,12419839
"Urodynamis taitensis",14741,235455
"Zanclostomus javanicus",65657,1545036
"Eurypyga helias",349678,8477270
"Rhynochetos jubatus",309,3159
"Caracara lutosa",0,0
"Caracara plancus",533473,12814141
"Daptrius ater",300581,7313573
"Falco alopex",219076,5318419
"Falco amurensis",608919,14715112
"Falco araeus",41,249
"Falco ardosiaceus",308265,7391195
"Falco berigora",344246,8309394
"Falco biarmicus",753956,18195070
"Falco cenchroides",334624,8068545
"Falco cherrug",1558616,37979285
"Falco chicquera",131241,3180555
"Falco columbarius",1999604,47892615
"Falco concolor",184436,4379392
"Falco cuvierii",310053,7483320
"Falco deiroleucus",140222,6685092
"Falco dickinsoni",156185,3788604
"Falco duboisi",0,0
"Falco eleonorae",214348,5164238
"Falco fasciinucha",21889,504166
"Falco femoralis",503470,12171960
"Falco hypoleucos",149962,3638422
"Falco jugger",121093,2925216
"Falco longipennis",337447,8113153
"Falco mexicanus",223699,5434035
"Falco moluccensis",22319,469513
"Falco naumanni",1790604,43518172
"Falco newtoni",24911,594087
"Falco novaeseelandiae",10775,242996
"Falco peregrinus",3869728,92504058
"Falco punctatus",55,778
"Falco ruficollis",521558,12674850
"Falco rufigularis",555051,13460006
"Falco rupicoloides",132805,3207341
"Falco rusticolus",1096970,26087540
"Falco severus",176015,4038145
"Falco sparverius",1153900,27845955
"Falco subbuteo",2357314,57141311
"Falco subniger",244822,5935873
"Falco tinnunculus",2427099,58718984
"Falco vespertinus",1400075,34052654
"Falco zoniventris",17947,414055
"Herpetotheres cachinnans",553748,13412635
"Ibycter americanus",334653,8139825
"Micrastur buckleyi",25972,623633
"Micrastur gilvicollis",175740,4279617
"Micrastur mintoni",99407,2412437
"Micrastur mirandollei",219039,5304602
"Micrastur plumbeus",3209,69760
"Micrastur ruficollis",517372,12562756
"Micrastur semitorquatus",546833,13262987
"Microhierax caerulescens",51061,1212386
"Microhierax erythrogenys",11882,255314
"Microhierax fringillarius",60679,1411696
"Microhierax latifrons",2787,60879
"Microhierax melanoleucos",98260,2369729
"Milvago chimachima",562401,13704724
"Neohierax insignis",23224,1071936
"Phalcoboenus albogularis",16880,340953
"Phalcoboenus australis",1495,23769
"Phalcoboenus carunculatus",3643,75419
"Phalcoboenus chimango",170759,4080990
"Phalcoboenus megalopterus",42501,1015924
"Polihierax semitorquatus",129015,3118609
"Spiziapteryx circumcincta",58698,1421041
"Aburria aburri",16770,356916
"Acryllium vulturinum",51094,1234750
"Aepypodius arfakianus",9251,196577
"Aepypodius bruijnii",69,1109
"Afropavo congensis",29124,702183
"Agelastes meleagrides",2360,53007
"Agelastes niger",32535,769417
"Alectoris barbara",58845,1395999
"Alectoris chukar",472466,11405420
"Alectoris graeca",29198,653313
"Alectoris magna",25947,625841
"Alectoris melanocephala",15437,353686
"Alectoris philbyi",3611,81074
"Alectoris rufa",47952,1107803
"Alectura lathami",28193,650321
"Ammoperdix griseogularis",124451,3004181
"Ammoperdix heyi",70513,1672095
"Anurophasis monorthonyx",560,8701
"Arborophila ardens",595,13270
"Arborophila atrogularis",15589,356608
"Arborophila brunneopectus",20685,488850
"Arborophila cambodiana",819,18037
"Arborophila campbelli",918,17197
"Arborophila crudigularis",1025,22873
"Arborophila davidi",269,4493
"Arborophila gingica",16755,398079
"Arborophila hyperythra",7145,162100
"Arborophila javanica",1739,74406
"Arborophila mandellii",4145,74471
"Arborophila orientalis",499,21554
"Arborophila rolli",2027,40019
"Arborophila rubrirostris",3356,69939
"Arborophila rufipectus",440,7735
"Arborophila rufogularis",52808,1251255
"Arborophila sumatrana",2136,40135
"Arborophila torqueola",30686,724236
"Argusianus argus",63300,1490007
"Bambusicola fytchii",23574,552885
"Bambusicola sonorivox",11234,238535
"Bambusicola thoracicus",63461,1496751
"Bonasa umbellus",338755,8064402
"Callipepla californica",74029,1693593
"Callipepla douglasii",7239,167990
"Callipepla gambelii",24256,560542
"Callipepla squamata",59686,1437538
"Caloperdix oculeus",23458,537655
"Campocolinus albogularis",46800,1111804
"Campocolinus coqui",175566,4204638
"Campocolinus schlegelii",23133,556778
"Canachites canadensis",254497,6055431
"Canachites franklinii",63856,1519380
"Catreus wallichii",9102,210813
"Centrocercus minimus",537,9698
"Centrocercus urophasianus",54877,1316406
"Chamaepetes goudotii",14603,318479
"Chamaepetes unicolor",1022,15672
"Chrysolophus amherstiae",16192,388607
"Chrysolophus pictus",40508,979004
"Colinus cristatus",82854,1983498
"Colinus leucopogon",6436,146075
"Colinus nigrogularis",6067,137223
"Colinus virginianus",182770,4375031
"Coturnix coromandelica",121054,2913179
"Coturnix coturnix",1425347,34528213
"Coturnix delegorguei",382493,9207663
"Coturnix japonica",374888,9049558
"Coturnix novaezelandiae",0,0
"Coturnix pectoralis",261495,6348785
"Crax alberti",2902,57088
"Crax alector",87265,2113401
"Crax blumenbachii",6453,149740
"Crax daubentoni",14997,344307
"Crax fasciolata",139861,3400474
"Crax globulosa",2394,44754
"Crax pinima",12867,304680
"Crax rubra",29387,666022
"Crossoptilon auritum",21433,514089
"Crossoptilon crossoptilon",8015,172520
"Crossoptilon harmani",3002,62823
"Crossoptilon mantchuricum",8178,188896
"Cyrtonyx montezumae",32043,757311
"Cyrtonyx ocellatus",5782,131590
"Cyrtonyx sallei",3963,92213
"Dactylortyx thoracicus",21390,495246
"Dendragapus fuliginosus",26537,575859
"Dendragapus obscurus",63950,1524684
"Dendrortyx barbatus",490,8220
"Dendrortyx leucophrys",5192,117824
"Dendrortyx macroura",6037,136985
"Eulipoa wallacei",2234,41743
"Falcipennis falcipennis",29557,690901
"Francolinus francolinus",127745,3038987
"Francolinus pictus",64662,1562100
"Francolinus pintadeanus",87479,2082237
"Galloperdix bicalcarata",1645,37918
"Galloperdix lunulata",57714,1397749
"Galloperdix spadicea",48888,1182108
"Gallus gallus",225893,5247255
"Gallus lafayettii",2442,55963
"Gallus sonneratii",42928,1035668
"Gallus varius",9001,189002
"Guttera edouardi",42035,994694
"Guttera plumifera",35296,839602
"Guttera pucherani",21977,523406
"Guttera verreauxi",99544,2374960
"Haematortyx sanguiniceps",3448,73612
"Ithaginis cruentus",28872,659958
"Lagopus lagopus",1096591,26199812
"Lagopus leucura",79102,1841959
"Lagopus muta",753904,17532202
"Leipoa ocellata",72477,1725188
"Lerwa lerwa",35395,834126
"Lophophorus impejanus",20473,482337
"Lophophorus lhuysii",7615,176200
"Lophophorus sclateri",7882,239982
"Lophura bulweri",11974,276452
"Lophura diardi",22077,513652
"Lophura edwardsi",461,8293
"Lophura erythrophthalma",17579,378836
"Lophura ignita",21383,489815
"Lophura inornata",3793,71894
"Lophura leucomelanos",55326,1321610
"Lophura nycthemera",45912,1077811
"Lophura pyronota",15948,358971
"Lophura rufa",19548,413464
"Lophura swinhoii",777,15348
"Lyrurus mlokosiewiczi",5052,104828
"Lyrurus tetrix",577567,13965835
"Macrocephalon maleo",5702,110721
"Margaroperdix madagarensis",23057,548687
"Megapodius bernsteinii",449,4745
"Megapodius cumingii",23312,474034
"Megapodius decollatus",10589,241276
"Megapodius eremita",4850,84974
"Megapodius freycinet",3061,44303
"Megapodius geelvinkianus",189,2971
"Megapodius laperouse",137,871
"Megapodius layardi",687,6848
"Megapodius nicobariensis",189,2317
"Megapodius pritchardii",13,76
"Megapodius reinwardt",37433,800549
"Megapodius tenimberensis",182,3247
"Melanoperdix niger",47497,1063859
"Meleagris gallopavo",306780,7387675
"Meleagris ocellata",7003,164704
"Mitu mitu",0,0
"Mitu salvini",20510,493396
"Mitu tomentosum",59674,1447552
"Mitu tuberosum",180015,4387836
"Nothocrax urumutum",83837,2036592
"Numida meleagris",567545,13677657
"Odontophorus atrifrons",1865,34527
"Odontophorus balliviani",4136,91193
"Odontophorus capueira",71815,1732903
"Odontophorus columbianus",286,5057
"Odontophorus dialeucos",26,235
"Odontophorus erythrops",7342,165168
"Odontophorus gujanensis",319495,7768967
"Odontophorus guttatus",14640,340932
"Odontophorus hyperythrus",3181,60894
"Odontophorus leucolaemus",727,11928
"Odontophorus melanonotus",363,6435
"Odontophorus melanotis",5904,128806
"Odontophorus speciosus",19442,453303
"Odontophorus stellatus",71700,1734957
"Odontophorus strophium",205,3454
"Ophrysia superciliosa",1201,26318
"Oreophasis derbianus",1849,31313
"Oreortyx pictus",17317,386506
"Ortalis araucuan",14885,351825
"Ortalis canicollis",48584,1177142
"Ortalis cinereiceps",10553,237814
"Ortalis columbiana",5059,117910
"Ortalis erythroptera",3352,75067
"Ortalis garrula",4710,110413
"Ortalis guttata",183192,4462637
"Ortalis leucogastra",2694,57737
"Ortalis motmot",88687,2148901
"Ortalis poliocephala",8680,201116
"Ortalis ruficauda",28465,666461
"Ortalis squamata",12419,292169
"Ortalis superciliaris",18804,444314
"Ortalis vetula",25922,606599
"Ortalis wagleri",4952,114558
"Ortygornis gularis",7948,184073
"Ortygornis pondicerianus",150291,3617175
"Ortygornis sephaena",142002,3370554
"Pauxi koepckeae",39,398
"Pauxi pauxi",4200,80036
"Pauxi unicornis",617,11912
"Pavo cristatus",145671,3458717
"Pavo muticus",77610,1861553
"Peliperdix lathami",110927,2672984
"Penelope albipennis",908,18718
"Penelope argyrotis",4540,90694
"Penelope barbata",1444,24170
"Penelope dabbenei",1472,32023
"Penelope jacquacu",206634,5039752
"Penelope jacucaca",25185,603581
"Penelope marail",50761,1225978
"Penelope montagnii",16405,370453
"Penelope obscura",42688,1016833
"Penelope ochrogaster",24678,586324
"Penelope ortoni",3622,78142
"Penelope perspicax",1018,16919
"Penelope pileata",37560,909508
"Penelope purpurascens",56280,1285240
"Penelope superciliaris",248256,6050324
"Penelopina nigra",4644,103854
"Perdicula argoondah",49224,1187632
"Perdicula asiatica",90851,2198690
"Perdicula erythrorhyncha",21547,505525
"Perdicula manipurensis",6042,138089
"Perdix dauurica",317941,7723419
"Perdix hodgsoniae",41866,1003950
"Perdix perdix",531443,12781812
"Phasianus colchicus",704559,16761186
"Phasianus versicolor",14188,306816
"Philortyx fasciatus",5706,134133
"Pipile cujubi",104574,2546594
"Pipile cumanensis",130305,3159332
"Pipile grayi",39213,947581
"Pipile jacutinga",44778,1068305
"Pipile pipile",177,3425
"Polyplectron bicalcaratum",48053,1100738
"Polyplectron chalcurum",3891,83766
"Polyplectron germaini",5066,118329
"Polyplectron inopinatum",625,10732
"Polyplectron katsumatae",213,2177
"Polyplectron malacense",2489,47994
"Polyplectron napoleonis",641,11563
"Polyplectron schleiermacheri",8762,189117
"Pternistis adspersus",47974,1155984
"Pternistis afer",190450,4589125
"Pternistis ahantensis",28956,688408
"Pternistis atrifrons",157,2481
"Pternistis bicalcaratus",148985,3619434
"Pternistis camerunensis",15,195
"Pternistis capensis",6583,151264
"Pternistis castaneicollis",11511,266238
"Pternistis clappertoni",98349,2337033
"Pternistis erckelii",7605,163691
"Pternistis griseostriatus",3759,85635
"Pternistis hartlaubi",15015,355702
"Pternistis harwoodi",2287,50164
"Pternistis hildebrandti",38637,906297
"Pternistis icterorhynchus",59970,1453808
"Pternistis jacksoni",908,16656
"Pternistis leucoscepus",86643,2084658
"Pternistis natalensis",47621,1141703
"Pternistis nobilis",969,17243
"Pternistis ochropectus",47,611
"Pternistis rufopictus",3322,78221
"Pternistis squamatus",109628,2610407
"Pternistis swainsonii",64733,1557571
"Pternistis swierstrai",882,17306
"Ptilopachus nahani",4312,100192
"Ptilopachus petrosus",194972,4720296
"Pucrasia macrolopha",59009,1388470
"Rheinardia nigrescens",94,780
"Rheinardia ocellata",2319,45373
"Rhizothera dulitensis",6143,133176
"Rhizothera longirostris",55663,1301268
"Rhynchortyx cinctus",9931,222744
"Rollulus rouloul",60766,1427903
"Scleroptila afra",18644,439242
"Scleroptila elgonensis",898,18329
"Scleroptila finschi",13017,306397
"Scleroptila gutturalis",62557,1490936
"Scleroptila levaillantii",36117,836764
"Scleroptila psilolaema",2117,47380
"Scleroptila shelleyi",54597,1278421
"Scleroptila streptophora",9391,217918
"Scleroptila whytei",1970,42511
"Synoicus adansonii",251073,6035723
"Synoicus chinensis",351068,8210224
"Synoicus ypsilophorus",246353,5867506
"Syrmaticus ellioti",21097,498587
"Syrmaticus humiae",14045,329092
"Syrmaticus mikado",468,8474
"Syrmaticus reevesii",30397,724252
"Syrmaticus soemmerringii",8579,175127
"Talegalla cuvieri",4498,97804
"Talegalla fuscirostris",12692,286231
"Talegalla jobiensis",10022,224352
"Tetrao urogalloides",287620,6985530
"Tetrao urogallus",467771,11296125
"Tetraogallus altaicus",34587,818674
"Tetraogallus caspius",13922,314490
"Tetraogallus caucasicus",1476,23406
"Tetraogallus himalayensis",79741,1915398
"Tetraogallus tibetanus",44918,1069612
"Tetraophasis obscurus",5253,118635
"Tetraophasis szechenyii",21834,525912
"Tetrastes bonasia",646171,15627868
"Tetrastes sewerzowi",16800,395573
"Tragopan blythii",5514,121440
"Tragopan caboti",16755,398079
"Tragopan melanocephalus",1087,21654
"Tragopan satyra",4478,99553
"Tragopan temminckii",52395,1266335
"Tropicoperdix charltonii",3283,54330
"Tropicoperdix chloropus",43961,1012834
"Tropicoperdix graydoni",3050,64128
"Tropicoperdix tonkinensis",2118,44694
"Tympanuchus cupido",137353,3291945
"Tympanuchus pallidicinctus",18954,454510
"Tympanuchus phasianellus",252927,6067740
"Xenoperdix udzungwensis",65,1105
"Gavia adamsii",237100,5416297
"Gavia arctica",950723,22775762
"Gavia immer",537892,12590328
"Gavia pacifica",295522,6762150
"Gavia stellata",997437,23293102
"Amaurolimnas concolor",74161,1725937
"Amaurornis cinerea",162451,3659371
"Amaurornis isabellina",7534,158711
"Amaurornis magnirostris",57,848
"Amaurornis marginalis",195933,4723426
"Amaurornis moluccana",57457,1274044
"Amaurornis olivacea",12792,272836
"Amaurornis phoenicurus",425657,10078516
"Anthropoides paradiseus",24228,570422
"Anthropoides virgo",859635,20956423
"Aphanapteryx bonasia",0,0
"Aptenorallus calayanensis",9,68
"Aramides albiventris",23557,538088
"Aramides axillaris",22355,471598
"Aramides cajaneus",539337,13116269
"Aramides calopterus",26356,631630
"Aramides mangle",33138,779338
"Aramides saracura",38919,932667
"Aramides wolfi",5487,120462
"Aramides ypecaha",150943,3670064
"Aramidopsis plateni",7903,175005
"Aramus guarauna",509630,12273774
"Balearica pavonina",124364,2995400
"Balearica regulorum",147375,3549558
"Bugeranus carunculatus",95554,2302394
"Cabalus modestus",0,0
"Canirallus oculeus",68001,1627384
"Coturnicops exquisitus",39705,898098
"Coturnicops notatus",66515,1598097
"Coturnicops noveboracensis",282071,6756808
"Crex crex",912811,22075922
"Crex egregia",483655,11753523
"Cyanolimnas cerverai",65,1009
"Diaphorapteryx hawkinsi",0,0
"Dryolimnas augusti",0,0
"Dryolimnas cuvieri",24911,594087
"Erythromachus leguati",0,0
"Eulabeornis castaneoventris",4714,86326
"Fulica alai",322,3712
"Fulica americana",574978,13797487
"Fulica ardesiaca",25528,597904
"Fulica armillata",116011,2737871
"Fulica atra",1667179,40246599
"Fulica cornuta",9592,224418
"Fulica cristata",220345,5318294
"Fulica gigantea",22547,537485
"Fulica leucoptera",127559,3049302
"Fulica newtonii",0,0
"Fulica rufifrons",53244,1259116
"Gallicrex cinerea",470833,11238929
"Gallinula chloropus",1634489,39084176
"Gallinula comeri",21,169
"Gallinula galeata",616435,14759941
"Gallinula nesiotis",0,0
"Gallinula tenebrosa",162803,3832836
"Gallirallus australis",2456,42544
"Gallirallus lafresnayanus",298,2969
"Grus americana",64681,1544539
"Grus antigone",78782,1890801
"Grus canadensis",619087,14697311
"Grus grus",859860,20822245
"Grus japonensis",69483,1648669
"Grus monacha",71905,1725038
"Grus nigricollis",37392,889195
"Grus rubicunda",148858,3576767
"Grus vipio",90105,2153492
"Gymnocrex plumbeiventris",31671,698627
"Gymnocrex rosenbergii",2379,49034
"Gymnocrex talaudensis",57,848
"Habroptila wallacii",938,18229
"Heliopais personatus",33293,771120
"Heliornis fulica",366577,8867525
"Himantornis haematopus",97788,2360893
"Hypotaenidia dieffenbachii",0,0
"Hypotaenidia immaculata",396,6775
"Hypotaenidia insignis",1663,34065
"Hypotaenidia okinawae",44,597
"Hypotaenidia owstoni",1,0
"Hypotaenidia pacifica",0,0
"Hypotaenidia philippensis",114234,2548948
"Hypotaenidia poeciloptera",0,0
"Hypotaenidia rovianae",219,3376
"Hypotaenidia sylvestris",5,15
"Hypotaenidia tertia",434,7040
"Hypotaenidia torquata",20686,414861
"Hypotaenidia wakensis",0,0
"Hypotaenidia woodfordi",507,7763
"Laterallus albigularis",28867,665691
"Laterallus exilis",276091,6626701
"Laterallus flaviventer",112044,2607320
"Laterallus jamaicensis",51073,1142152
"Laterallus leucopyrrhus",37243,885184
"Laterallus levraudi",1787,37256
"Laterallus melanophaius",419618,10219324
"Laterallus podarces",0,0
"Laterallus rogersi",4,16
"Laterallus ruber",24030,560612
"Laterallus spilonota",147,2036
"Laterallus spilopterus",6204,134298
"Laterallus tuerosi",24,165
"Laterallus xenopterus",70899,1712681
"Leucogeranus leucogeranus",8480,189830
"Lewinia mirifica",4794,105669
"Lewinia muelleri",12,43
"Lewinia pectoralis",44135,1006483
"Lewinia striata",209880,4919591
"Megacrex inepta",4183,90163
"Mentocrex beankaensis",213,3775
"Mentocrex kioloides",1437,15069
"Micropygia schomburgkii",124989,3027943
"Mundia elpenor",0,0
"Neocrex colombiana",5087,106689
"Neocrex erythrops",161294,3811113
"Paragallinula angulata",488060,11810170
"Pardirallus maculatus",351298,8456087
"Pardirallus nigricans",135505,3272282
"Pardirallus sanguinolentus",192404,4593122
"Pareudiastes pacificus",22,292
"Pareudiastes silvestris",1,1
"Podica senegalensis",471211,11455329
"Porphyrio albus",0,0
"Porphyrio alleni",676670,16459739
"Porphyrio caerulescens",0,0
"Porphyrio flavirostris",219393,5302028
"Porphyrio hochstetteri",36,507
"Porphyrio kukwiedei",0,0
"Porphyrio mantelli",0,0
"Porphyrio martinicus",683179,16499794
"Porphyrio paepae",0,0
"Porphyrio porphyrio",793792,18780359
"Porphyriops melanops",172356,4154906
"Porzana albicollis",255142,6186767
"Porzana carolina",687577,16483429
"Porzana fasciata",53852,1305611
"Porzana fluminea",84156,1982568
"Porzana porzana",950089,22904396
"Psophia crepitans",112438,2726843
"Psophia dextralis",41630,1008502
"Psophia leucoptera",64795,1566156
"Psophia obscura",9709,229549
"Psophia ochroptera",7262,172803
"Psophia viridis",26909,645700
"Rallicula forbesi",8591,198161
"Rallicula leucospila",440,4416
"Rallicula mayri",932,19726
"Rallicula rubra",4981,114804
"Rallina canningi",341,5273
"Rallina eurizonoides",131903,3033597
"Rallina fasciata",87628,1977903
"Rallina tricolor",33664,732278
"Rallus antarcticus",48509,1080168
"Rallus aquaticus",580375,13787780
"Rallus caerulescens",236714,5706051
"Rallus crepitans",14606,227733
"Rallus elegans",133922,3187441
"Rallus indicus",260215,6208806
"Rallus limicola",454811,10940803
"Rallus longirostris",17869,361381
"Rallus madagascariensis",7333,168562
"Rallus obsoletus",3387,57513
"Rallus semiplumbeus",672,12223
"Rallus tenuirostris",8016,190419
"Rallus wetmorei",40,170
"Rougetius rougetii",14739,346909
"Rufirallus castaneiceps",25610,611522
"Rufirallus viridis",255098,6178351
"Sarothrura affinis",22629,526621
"Sarothrura ayresi",14734,346184
"Sarothrura boehmi",74685,1784076
"Sarothrura elegans",293234,7091365
"Sarothrura insularis",12347,291174
"Sarothrura lugens",8466,190496
"Sarothrura pulchra",192431,4665691
"Sarothrura rufa",185128,4428524
"Sarothrura watersi",643,13333
"Tribonyx hodgenorum",0,0
"Tribonyx mortierii",2019,42702
"Tribonyx ventralis",191860,4617285
"Zapornia akool",162776,3912987
"Zapornia astrictocarpus",0,0
"Zapornia atra",8,41
"Zapornia bicolor",59302,1428823
"Zapornia flavirostra",690868,16809696
"Zapornia fusca",295411,6870838
"Zapornia monasa",0,0
"Zapornia nigra",0,0
"Zapornia olivieri",2018,43901
"Zapornia palmeri",0,0
"Zapornia parva",507840,12260873
"Zapornia paykullii",112346,2636409
"Zapornia pusilla",1726975,41646162
"Zapornia sandwichensis",0,0
"Zapornia tabuensis",102677,2297026
"Leptosomus discolor",25042,595980
"Mesitornis unicolor",2256,37369
"Mesitornis variegatus",1867,39750
"Monias benschi",586,12380
"Corythaeola cristata",162309,3921726
"Corythaixoides concolor",158393,3829457
"Corythaixoides leopoldi",28335,671586
"Corythaixoides personatus",2504,53326
"Crinifer piscator",151899,3663239
"Crinifer zonurus",44401,1020755
"Criniferoides leucogaster",95824,2308829
"Gallirex johnstoni",921,16819
"Gallirex porphyreolophus",90762,2179098
"Musophaga rossae",130315,3138174
"Musophaga violacea",86391,2090479
"Tauraco bannermani",200,1992
"Tauraco corythaix",5618,125259
"Tauraco erythrolophus",8177,190972
"Tauraco fischeri",2381,49003
"Tauraco hartlaubi",11260,266550
"Tauraco leucolophus",59852,1442561
"Tauraco leucotis",33745,812210
"Tauraco livingstonii",41065,979822
"Tauraco macrorhynchus",53498,1281966
"Tauraco persa",135280,3280642
"Tauraco ruspolii",1081,24232
"Tauraco schalowi",79272,1911079
"Tauraco schuettii",86643,2099096
"Opisthocomus hoazin",312417,7608890
"Afrotis afra",7402,173674
"Afrotis afraoides",79925,1942600
"Ardeotis arabs",123696,2967671
"Ardeotis australis",277989,6747054
"Ardeotis kori",147903,3584275
"Ardeotis nigriceps",44747,1069474
"Chlamydotis macqueenii",375222,9109955
"Chlamydotis undulata",183875,4467354
"Eupodotis caerulescens",11234,265788
"Eupodotis senegalensis",205412,4916603
"Heterotetrax humilis",19938,477326
"Heterotetrax rueppelii",12012,282484
"Heterotetrax vigorsii",28817,693675
"Houbaropsis bengalensis",11529,261738
"Lissotis hartlaubii",26225,610012
"Lissotis melanogaster",443069,10688800
"Lophotis gindiana",74200,1789410
"Lophotis ruficrista",83619,2023780
"Lophotis savilei",44850,1063729
"Neotis denhami",319865,7733141
"Neotis heuglinii",41628,995667
"Neotis ludwigii",42303,1010163
"Neotis nuba",99316,2399128
"Otis tarda",416059,12231946
"Sypheotides indicus",102742,2483282
"Tetrax tetrax",421072,10218503
"Acanthisitta chloris",7262,152603
"Acropternis orthonyx",8597,181375
"Akletos goeldii",14330,344518
"Akletos melanoceps",54788,1330272
"Ammonastes pelzelni",2595,59290
"Ampelornis griseiceps",942,18283
"Aprositornis disjuncta",1944,42908
"Batara cinerea",25450,602577
"Biatas nigropectus",7101,158582
"Calyptomena hosii",6823,147515
"Calyptomena viridis",62589,1467121
"Calyptomena whiteheadi",4714,96146
"Cercomacra brasiliana",5746,129916
"Cercomacra carbonaria",1040,19261
"Cercomacra cinerascens",277121,6745133
"Cercomacra ferdinandi",6660,155154
"Cercomacra manu",20574,487796
"Cercomacra melanaria",18779,448023
"Cercomacra nigricans",24452,550424
"Cercomacroides fuscicauda",44888,1080803
"Cercomacroides laeta",16880,396262
"Cercomacroides nigrescens",154042,3725179
"Cercomacroides parkeri",2734,61073
"Cercomacroides serva",56164,1353398
"Cercomacroides tyrannina",133718,3191625
"Certhiasomus stictolaemus",133524,3233465
"Chamaeza campanisona",76370,1811114
"Chamaeza meruloides",4701,103870
"Chamaeza mollissima",5053,104021
"Chamaeza nobilis",107409,2611378
"Chamaeza ruficauda",15786,373074
"Chamaeza turdina",776,14779
"Clytoctantes alixii",4137,79954
"Clytoctantes atrogularis",12607,301478
"Conopophaga ardesiaca",4530,100972
"Conopophaga aurita",116206,2818818
"Conopophaga castaneiceps",7599,161568
"Conopophaga cearae",2273,44656
"Conopophaga lineata",78665,1906210
"Conopophaga melanogaster",38040,917024
"Conopophaga melanops",10732,243845
"Conopophaga peruviana",45684,1105551
"Conopophaga roberti",28814,691362
"Conopophaga snethlageae",24999,591567
"Corydon sumatranus",94045,2223745
"Cryptopezus nattereri",20710,496039
"Cymbilaimus lineatus",275912,6686956
"Cymbilaimus sanctaemariae",20668,497630
"Cymbirhynchus affinis",4631,103425
"Cymbirhynchus macrorhynchos",69851,1634839
"Deconychura longicauda",45495,1101323
"Deconychura pallida",163631,7921202
"Deconychura typica",5400,113816
"Dendrexetastes rufigula",153173,3694255
"Dendrocincla anabatina",16513,380931
"Dendrocincla fuliginosa",352292,8539929
"Dendrocincla homochroa",22173,495612
"Dendrocincla merula",222019,5393320
"Dendrocincla turdina",49779,1199089
"Dendrocincla tyrannina",14157,309811
"Dendrocolaptes certhia",275468,6703103
"Dendrocolaptes hoffmannsi",36020,1736810
"Dendrocolaptes punctipectus",9011,212935
"Dendrocolaptes sanctithomae",26233,594893
"Dichrozona cincta",128826,3132761
"Drymophila caudata",919,16448
"Drymophila devillei",87397,2115943
"Drymophila ferruginea",21499,508684
"Drymophila genei",1490,25083
"Drymophila hellmayri",343,6479
"Drymophila klagesi",2755,58557
"Drymophila malura",32157,773088
"Drymophila ochropyga",14760,340357
"Drymophila rubricollis",13864,330826
"Drymophila squamata",14683,341819
"Drymophila striaticeps",9141,194656
"Dysithamnus leucostictus",2637,52596
"Dysithamnus mentalis",176453,4177002
"Dysithamnus occidentalis",979,14664
"Dysithamnus plumbeus",6183,145387
"Dysithamnus puncticeps",5936,128691
"Dysithamnus stictothorax",17648,417207
"Dysithamnus striaticeps",3971,88708
"Dysithamnus xanthopterus",2252,46806
"Eleoscytalopus indigoticus",19418,457776
"Eleoscytalopus psychopompus",170,2642
"Epinecrophylla amazonica",32631,789607
