"blife_binomial","n_cells","st_area"
"Henicopernis infuscatus",1646,33645
"Henicopernis longicauda",33333,754994
"Hieraaetus ayresii",313079,7558137
"Hieraaetus morphnoides",302094,7295762
"Hieraaetus pennatus",1211304,29330658
"Hieraaetus wahlbergi",496950,12075397
"Hieraaetus weiskei",29241,669947
"Icthyophaga humilis",126480,2923777
"Icthyophaga ichthyaetus",161008,3728404
"Ictinaetus malaiensis",140898,3250646
"Ictinia mississippiensis",206037,4917095
"Ictinia plumbea",530436,12869897
"Kaupifalco monogrammicus",540956,13159930
"Leptodon cayanensis",500420,12146014
"Leptodon forbesi",2418,53170
"Leucopternis kuhli",98725,2390663
"Leucopternis melanops",106477,2588022
"Leucopternis semiplumbeus",10710,237829
"Lophaetus occipitalis",581448,14118918
"Lophoictinia isura",247869,5977118
"Lophotriorchis kienerii",162828,3780192
"Macheiramphus alcinus",566536,13657049
"Megatriorchis doriae",26533,603795
"Melierax canorus",92938,2256390
"Melierax metabates",516941,12558973
"Melierax poliopterus",86091,2084831
"Micronisus gabar",576151,13992347
"Milvus aegyptius",771260,18736066
"Milvus migrans",2943195,71365154
"Milvus milvus",167923,3983156
"Morphnarchus princeps",5744,114145
"Morphnus guianensis",483518,11774871
"Necrosyrtes monachus",482039,11695206
"Neophron percnopterus",1118672,27119513
"Nisaetus alboniger",34640,805729
"Nisaetus bartelsi",906,14515
"Nisaetus cirrhatus",188732,4444656
"Nisaetus floris",1850,71146
"Nisaetus lanceolatus",8472,184622
"Nisaetus nanus",49186,1102146
"Nisaetus nipalensis",96643,2238423
"Nisaetus philippensis",5910,127148
"Nisaetus pinskeri",6170,133217
"Pandion haliaetus",3824393,91987641
"Parabuteo leucorrhous",51085,1195292
"Parabuteo unicinctus",376323,9058338
"Pernis apivorus",1356820,35597212
"Pernis celebensis",7758,156723
"Pernis ptilorhynchus",690374,16534114
"Pernis steerei",12385,261907
"Pithecophaga jefferyi",6625,143154
"Polemaetus bellicosus",616010,14974248
"Polyboroides radiatus",18003,415915
"Polyboroides typus",616000,14982668
"Pseudastur albicollis",352119,8532548
"Pseudastur occidentalis",2346,99978
"Pseudastur polionotus",38919,923298
"Rostrhamus sociabilis",483103,11668791
"Rupornis magnirostris",622484,15131088
"Sagittarius serpentarius",579911,14104999
"Sarcogyps calvus",185311,4467046
"Spilornis cheela",295532,7045574
"Spilornis elgini",434,5834
"Spilornis holospilus",13154,277715
"Spilornis kinabaluensis",1764,36827
"Spilornis klossi",80,1118
"Spilornis rufipectus",6170,116714
"Spizaetus isidori",20854,944096
"Spizaetus melanoleucus",362539,8765513
"Spizaetus ornatus",440041,10662188
"Spizaetus tyrannus",345649,8356345
"Stephanoaetus coronatus",274776,6649908
"Terathopius ecaudatus",580258,14108227
"Torgos tracheliotos",523907,12687537
"Trigonoceps occipitalis",332904,7998501
"Urotriorchis macrourus",128209,3093895
"Aix galericulata",145376,3455971
"Aix sponsa",322918,7701732
"Alopochen aegyptiaca",741861,18034998
"Alopochen kervazoi",0,0
"Alopochen mauritiana",0,0
"Amazonetta brasiliensis",361684,8791643
"Anas acuta",2208732,52959934
"Anas albogularis",313,4873
"Anas andium",17558,413260
"Anas aucklandica",21,114
"Anas bahamensis",129190,3004364
"Anas bernieri",2903,53731
"Anas capensis",179201,4338966
"Anas carolinensis",757085,18186483
"Anas castanea",131557,3143096
"Anas chlorotis",3520,63760
"Anas crecca",1643831,39476833
"Anas eatoni",493,7499
"Anas erythrorhyncha",445840,10825367
"Anas flavirostris",166497,3952487
"Anas fulvigula",63447,1488393
"Anas georgica",176011,4177140
"Anas gibberifrons",35603,792847
"Anas gracilis",370810,8855003
"Anas laysanensis",8,9
"Anas luzonica",13214,281652
"Anas marecula",0,0
"Anas melleri",9051,211606
"Anas nesiotis",21,128
"Anas platyrhynchos",2024427,48490134
"Anas poecilorhyncha",219217,5286677
"Anas rubripes",283271,6751143
"Anas sparsa",382399,9264858
"Anas superciliosa",376644,8884973
"Anas theodori",0,0
"Anas undulata",351665,8526124
"Anas wyvilliana",479,8023
"Anas zonorhyncha",366947,8872342
"Anhima cornuta",452886,11047834
"Anser albifrons",449709,10483629
"Anser anser",799982,19074976
"Anser brachyrhynchus",11747,244822
"Anser caerulescens",404994,9433878
"Anser canagicus",23423,462942
"Anser cygnoid",302230,7373662
"Anser erythropus",1204846,29251627
"Anser fabalis",744134,17883551
"Anser indicus",186538,4482728
"Anser rossii",123310,2906893
"Anseranas semipalmata",56749,1315861
"Asarcornis scutulata",43041,1005492
"Aythya affinis",682249,16438822
"Aythya americana",489139,11796141
"Aythya australis",283287,6853545
"Aythya baeri",370831,8989145
"Aythya collaris",596232,14304114
"Aythya ferina",1146614,27579820
"Aythya fuligula",1387755,33387204
"Aythya innotata",5,21
"Aythya marila",721621,16853647
"Aythya novaeseelandiae",7879,162755
