"blife_id","blife_binomial","blife_order","blife_family","blife_iucn_status","ref_binomial","ref_order","ref_family","ref_id","method"
22726607,"Ceyx cajeli","Coraciiformes","Alcedinidae","NT","Ceyx cajeli","Coraciiformes","Alcedinidae",22726607,"Match by ID"
22726613,"Ceyx solitarius","Coraciiformes","Alcedinidae","LC","Ceyx solitarius","Coraciiformes","Alcedinidae",22726613,"Match by ID"
22726619,"Ceyx dispar","Coraciiformes","Alcedinidae","NT","Ceyx dispar","Coraciiformes","Alcedinidae",22726619,"Match by ID"
22726625,"Ceyx mulcatus","Coraciiformes","Alcedinidae","LC","Ceyx mulcatus","Coraciiformes","Alcedinidae",22726625,"Match by ID"
22726631,"Ceyx sacerdotis","Coraciiformes","Alcedinidae","LC","Ceyx sacerdotis","Coraciiformes","Alcedinidae",22726631,"Match by ID"
22726637,"Ceyx meeki","Coraciiformes","Alcedinidae","LC","Ceyx meeki","Coraciiformes","Alcedinidae",22726637,"Match by ID"
22726643,"Ceyx collectoris","Coraciiformes","Alcedinidae","LC","Ceyx collectoris","Coraciiformes","Alcedinidae",22726643,"Match by ID"
22726649,"Ceyx nigromaxilla","Coraciiformes","Alcedinidae","LC","Ceyx nigromaxilla","Coraciiformes","Alcedinidae",22726649,"Match by ID"
22726655,"Ceyx gentianus","Coraciiformes","Alcedinidae","LC","Ceyx gentianus","Coraciiformes","Alcedinidae",22726655,"Match by ID"
22726661,"Phaethornis griseogularis","Caprimulgiformes","Trochilidae","LC","Phaethornis griseogularis","Caprimulgiformes","Trochilidae",22726661,"Match by ID"
22726671,"Phaethornis porcullae","Caprimulgiformes","Trochilidae","LC","Phaethornis porcullae","Caprimulgiformes","Trochilidae",22726671,"Match by ID"
22726682,"Lophornis chalybeus","Caprimulgiformes","Trochilidae","LC","Lophornis chalybeus","Caprimulgiformes","Trochilidae",22726682,"Match by ID"
22726690,"Lophornis verreauxii","Caprimulgiformes","Trochilidae","LC","Lophornis verreauxii","Caprimulgiformes","Trochilidae",22726690,"Match by ID"
22726696,"Thalurania colombica","Caprimulgiformes","Trochilidae","LC","Thalurania colombica","Caprimulgiformes","Trochilidae",22726696,"Match by ID"
22726706,"Chionomesa lactea","Caprimulgiformes","Trochilidae","LC","Amazilia lactea","Caprimulgiformes","Trochilidae",22726706,"Match by ID"
22726714,"Chionomesa bartletti","Caprimulgiformes","Trochilidae","LC","Amazilia bartletti","Caprimulgiformes","Trochilidae",22726714,"Match by ID"
22726720,"Coeligena torquata","Caprimulgiformes","Trochilidae","LC","Coeligena torquata","Caprimulgiformes","Trochilidae",22726720,"Match by ID"
22726729,"Coeligena conradii","Caprimulgiformes","Trochilidae","LC","Coeligena conradii","Caprimulgiformes","Trochilidae",22726729,"Match by ID"
22726736,"Coeligena eisenmanni","Caprimulgiformes","Trochilidae","LC","Coeligena eisenmanni","Caprimulgiformes","Trochilidae",22726736,"Match by ID"
22726743,"Coeligena inca","Caprimulgiformes","Trochilidae","LC","Coeligena inca","Caprimulgiformes","Trochilidae",22726743,"Match by ID"
22726750,"Coeligena violifer","Caprimulgiformes","Trochilidae","LC","Coeligena violifer","Caprimulgiformes","Trochilidae",22726750,"Match by ID"
22726758,"Coeligena dichroura","Caprimulgiformes","Trochilidae","LC","Coeligena dichroura","Caprimulgiformes","Trochilidae",22726758,"Match by ID"
22726764,"Coeligena albicaudata","Caprimulgiformes","Trochilidae","LC","Coeligena albicaudata","Caprimulgiformes","Trochilidae",22726764,"Match by ID"
22726770,"Coeligena osculans","Caprimulgiformes","Trochilidae","LC","Coeligena osculans","Caprimulgiformes","Trochilidae",22726770,"Match by ID"
22726790,"Oxypogon guerinii","Caprimulgiformes","Trochilidae","LC","Oxypogon guerinii","Caprimulgiformes","Trochilidae",22726790,"Match by ID"
22726798,"Oxypogon cyanolaemus","Caprimulgiformes","Trochilidae","EN","Oxypogon cyanolaemus","Caprimulgiformes","Trochilidae",22726798,"Match by ID"
22726804,"Oxypogon lindenii","Caprimulgiformes","Trochilidae","LC","Oxypogon lindenii","Caprimulgiformes","Trochilidae",22726804,"Match by ID"
22726810,"Oxypogon stuebelii","Caprimulgiformes","Trochilidae","VU","Oxypogon stuebelii","Caprimulgiformes","Trochilidae",22726810,"Match by ID"
