"ref_binomial";"ref_id";"ref_kingdom";"ref_phylum";"ref_class";"ref_order";"ref_family";"ref_genus"
"Apus affinis";"22686856";"Animalia";"Chordata";"Aves";"Caprimulgiformes";"Apodidae";"Apus"
"Vanellus indicus";"22694013";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Vanellus"
"Alcedo atthis";"22683027";"Animalia";"Chordata";"Aves";"Coraciiformes";"Alcedinidae";"Alcedo"
"Cygnus columbianus";"22679862";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Cygnus"
"Fulica cristata";"22692907";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Fulica"
"Turnix sylvaticus";"22680500";"Animalia";"Chordata";"Aves";"Charadriiformes";"Turnicidae";"Turnix"
"Ketupa zeylonensis";"22689012";"Animalia";"Chordata";"Aves";"Strigiformes";"Strigidae";"Ketupa"
"Chlamydotis undulata";"22728245";"Animalia";"Chordata";"Aves";"Otidiformes";"Otididae";"Chlamydotis"
"Rhea americana";"22678073";"Animalia";"Chordata";"Aves";"Struthioniformes";"Rheidae";"Rhea"
"Casuarius bennetti";"22678111";"Animalia";"Chordata";"Aves";"Struthioniformes";"Casuariidae";"Casuarius"
"Apteryx owenii";"22678129";"Animalia";"Chordata";"Aves";"Struthioniformes";"Apterygidae";"Apteryx"
"Apteryx haastii";"22678132";"Animalia";"Chordata";"Aves";"Struthioniformes";"Apterygidae";"Apteryx"
"Nothocercus julius";"22678157";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothocercus"
"Crypturellus berlepschi";"22678163";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus cinereus";"22678166";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus obsoletus";"22678176";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus undulatus";"22678182";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus strigulosus";"22678188";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus kerriae";"22678194";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus noctivagus";"22678217";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus variegatus";"22678223";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus brevirostris";"22678226";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Crypturellus bartletti";"22678229";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Crypturellus"
"Nothoprocta ornata";"22678254";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothoprocta"
"Nothoprocta pentlandii";"22678259";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothoprocta"
"Nothoprocta cinerascens";"22678262";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothoprocta"
"Nothoprocta curvirostris";"22678268";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothoprocta"
"Nothura darwinii";"22678271";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothura"
"Nothura boraquira";"22678283";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Nothura"
"Eudromia elegans";"22678289";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Eudromia"
"Eudromia formosa";"22678294";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Eudromia"
"Tinamotis pentlandii";"22678299";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Tinamotis"
"Tinamotis ingoufi";"22678302";"Animalia";"Chordata";"Aves";"Struthioniformes";"Tinamidae";"Tinamotis"
"Ortalis garrula";"22678312";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Ortalis"
"Ortalis ruficauda";"22678315";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Ortalis"
"Ortalis canicollis";"22678328";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Ortalis"
"Ortalis motmot";"22678342";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Ortalis"
"Ortalis superciliaris";"22678348";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Ortalis"
"Penelope argyrotis";"22678354";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Penelope montagnii";"22678364";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Penelope marail";"22678367";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Penelope dabbenei";"22678373";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Penelope jacquacu";"22678386";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Penelope obscura";"22678389";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Penelope jacucaca";"22678398";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Penelope"
"Aburria aburri";"22678440";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Aburria"
"Chamaepetes goudotii";"22678446";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Chamaepetes"
"Nothocrax urumutum";"22678461";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Nothocrax"
"Mitu tomentosum";"22678464";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Mitu"
"Mitu salvini";"22678472";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Mitu"
"Pauxi pauxi";"22678497";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Pauxi"
"Crax globulosa";"22678537";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Crax"
"Crax blumenbachii";"22678544";"Animalia";"Chordata";"Aves";"Galliformes";"Cracidae";"Crax"
"Aepypodius arfakianus";"22678555";"Animalia";"Chordata";"Aves";"Galliformes";"Megapodiidae";"Aepypodius"
"Talegalla fuscirostris";"22678568";"Animalia";"Chordata";"Aves";"Galliformes";"Megapodiidae";"Talegalla"
"Talegalla jobiensis";"22678572";"Animalia";"Chordata";"Aves";"Galliformes";"Megapodiidae";"Talegalla"
"Megapodius decollatus";"22678607";"Animalia";"Chordata";"Aves";"Galliformes";"Megapodiidae";"Megapodius"
"Megapodius layardi";"22678615";"Animalia";"Chordata";"Aves";"Galliformes";"Megapodiidae";"Megapodius"
"Lerwa lerwa";"22678649";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Lerwa"
"Ammoperdix heyi";"22678657";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Ammoperdix"
"Tetraogallus tibetanus";"22678667";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetraogallus"
"Tetraogallus altaicus";"22678670";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetraogallus"
"Tetraophasis obscurus";"22678676";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetraophasis"
"Tetraophasis szechenyii";"22678680";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Tetraophasis"
"Alectoris philbyi";"22678698";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Alectoris"
"Alectoris magna";"22678703";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Alectoris"
"Alectoris melanocephala";"22678714";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Alectoris"
"Francolinus pictus";"22678722";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Francolinus"
"Francolinus pintadeanus";"22678725";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Francolinus"
"Francolinus gularis";"22678733";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Francolinus"
"Peliperdix albogularis";"22678740";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Peliperdix"
"Peliperdix schlegelii";"22678744";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Peliperdix"
"Peliperdix lathami";"22678748";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Peliperdix"
"Dendroperdix sephaena";"22678752";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Dendroperdix"
"Scleroptila streptophora";"22678756";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Scleroptila"
"Scleroptila finschi";"22678760";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Scleroptila"
"Scleroptila afra";"22678764";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Scleroptila"
"Scleroptila levaillantii";"22678769";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Scleroptila"
"Scleroptila gutturalis";"22678790";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Scleroptila"
"Pternistis hartlaubi";"22678799";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis bicalcaratus";"22678803";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis clappertoni";"22678807";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis icterorhynchus";"22678811";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis adspersus";"22678819";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis natalensis";"22678831";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis ahantensis";"22678835";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis squamatus";"22678839";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis griseostriatus";"22678843";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis leucoscepus";"22678847";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis rufopictus";"22678851";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis swainsonii";"22678860";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Pternistis swierstrai";"22678896";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Pternistis"
"Perdix dauurica";"22678916";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Perdix"
"Perdix hodgsoniae";"22678919";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Perdix"
"Coturnix pectoralis";"22678952";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Coturnix"
"Coturnix novaezelandiae";"22678955";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Coturnix"
"Coturnix coromandelica";"22678958";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Coturnix"
"Coturnix delegorguei";"22678961";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Coturnix"
"Synoicus ypsilophorus";"22678965";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Synoicus"
"Synoicus adansonii";"22678971";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Synoicus"
"Synoicus chinensis";"22678979";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Synoicus"
"Anurophasis monorthonyx";"22678993";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Anurophasis"
"Perdicula argoondah";"22679002";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Perdicula"
"Perdicula erythrorhyncha";"22679007";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Perdicula"
"Arborophila rufogularis";"22679020";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila atrogularis";"22679023";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila crudigularis";"22679026";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila brunneopectus";"22679032";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila rufipectus";"22679035";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila javanica";"22679044";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila hyperythra";"22679047";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila gingica";"22679050";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila cambodiana";"22679057";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Arborophila ardens";"22679063";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Arborophila"
"Caloperdix oculeus";"22679094";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Caloperdix"
"Haematortyx sanguiniceps";"22679103";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Haematortyx"
"Ptilopachus petrosus";"22679110";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Ptilopachus"
"Bambusicola fytchii";"22679114";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Bambusicola"
"Galloperdix spadicea";"22679131";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Galloperdix"
"Galloperdix lunulata";"22679134";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Galloperdix"
"Galloperdix bicalcarata";"22679137";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Galloperdix"
